tag,fr,de,en,filename_fr,filename_de,filename_en,negative
q1,"Si ma mère est heureuse, je me sens heureux aussi.","Wenn meine Mutter glücklich ist, bin ich auch glücklich.","If my mother is happy, I also feel happy.",questionnaire1_q1_fr.mp3,questionnaire1_q1_de.mp3,questionnaire1_q1_en.mp3,0
q2,Je comprends qu'un ami a honte quand il a fait quelque chose de mal.,"Ich verstehe, dass ein Freund sich schämt, wenn er etwas falsch gemacht hat.",I understand that a friend is ashamed when he/she has done something wrong.,questionnaire1_q2_fr.mp3,questionnaire1_q2_de.mp3,questionnaire1_q2_en.mp3,0
q3,"Si un ami est triste, j'aime le réconforter.","Wenn ein Freund traurig ist, tröste ich ihn gerne.","If a friend is sad, I like to comfort him.",questionnaire1_q3_fr.mp3,questionnaire1_q3_de.mp3,questionnaire1_q3_en.mp3,0
q4,Je me sens mal quand deux personnes se disputent.,"Ich fühle mich schrecklich, wenn zwei Leute streiten.",I feel awful when two people quarrel.,questionnaire1_q4_fr.mp3,questionnaire1_q4_de.mp3,questionnaire1_q4_en.mp3,0
q5,"Quand un ami est en colère, j'ai tendance à savoir pourquoi.","Wenn ein Freund wütend ist, weiß ich meistens warum.","When a friend is angry, I tend to know why.",questionnaire1_q5_fr.mp3,questionnaire1_q5_de.mp3,questionnaire1_q5_en.mp3,0
q6,J'aimerais aider quand un ami se met en colère.,"Ich würde gerne helfen, wenn ein Freund wütend wird.",I would like to help when a friend gets angry.,questionnaire1_q6_fr.mp3,questionnaire1_q6_de.mp3,questionnaire1_q6_en.mp3,0
q7,"Si un ami est triste, je me sens triste aussi.","Wenn ein Freund traurig ist, fühle ich mich auch traurig.","If a friend is sad, I also feel sad",questionnaire1_q7_fr.mp3,questionnaire1_q7_de.mp3,questionnaire1_q7_en.mp3,0
q8,Je comprends qu'un ami est fier quand il a fait quelque chose de bien.,"Ich verstehe, dass ein Freund stolz ist, wenn er etwas Gutes gemacht hat.",I understand that a friend is proud when he/she has done something good.,questionnaire1_q8_fr.mp3,questionnaire1_q8_de.mp3,questionnaire1_q8_en.mp3,0
q9,"Si un ami a une dispute, j'essaie d'aider.","Wenn ein Freund einen Streit hat, versuche ich zu helfen.","If a friend has an argument, I try to help.",questionnaire1_q9_fr.mp3,questionnaire1_q9_de.mp3,questionnaire1_q9_en.mp3,0
q10,"Si un ami rit, je ris aussi.","Wenn ein Freund lacht, lache ich auch.","If a friend is laughing, I also laugh.",questionnaire1_q10_fr.mp3,questionnaire1_q10_de.mp3,questionnaire1_q10_en.mp3,0
q11,"Si un ami est triste, je comprends en grande partie pourquoi.","Wenn ein Freund traurig ist, verstehe ich meistens warum.","If a friend is sad, I understand mostly why.",questionnaire1_q11_fr.mp3,questionnaire1_q11_de.mp3,questionnaire1_q11_en.mp3,0
q12,Je veux que tout le monde se sente bien.,"Ich möchte, dass sich alle gut fühlen.",I want everyone to feel good.,questionnaire1_q12_fr.mp3,questionnaire1_q12_de.mp3,questionnaire1_q12_en.mp3,0
q13,"Quand un ami pleure, je pleure moi-même.","Wenn ein Freund weint, weine ich auch.","When a friend cries, I cry myself.",questionnaire1_q13_fr.mp3,questionnaire1_q13_de.mp3,questionnaire1_q13_en.mp3,0
q14,"Si un ami pleure, je comprends souvent ce qui s'est passé.","Wenn ein Freund weint, verstehe ich oft, was passiert ist.","If a friend cries, I often understand what has happened.",questionnaire1_q14_fr.mp3,questionnaire1_q14_de.mp3,questionnaire1_q14_en.mp3,0
q15,"Si un ami est triste, je veux faire quelque chose pour améliorer la situation.","Wenn ein Freund traurig ist, möchte ich etwas tun, um es besser zu machen.","If a friend is sad, I want to do something to make it better.",questionnaire1_q15_fr.mp3,questionnaire1_q15_de.mp3,questionnaire1_q15_en.mp3,0
q16,"Si quelqu'un dans ma famille est triste, je me sens vraiment mal.","Wenn jemand in meiner Familie traurig ist, fühle ich mich richtig schlecht.","If someone in my family is sad, I feel really bad.",questionnaire1_q16_fr.mp3,questionnaire1_q16_de.mp3,questionnaire1_q16_en.mp3,0
q17,J'aime offrir un cadeau à un ami.,"Ich freue mich, einem Freund ein Geschenk zu geben.",I enjoy giving a friend a gift.,questionnaire1_q17_fr.mp3,questionnaire1_q17_de.mp3,questionnaire1_q17_en.mp3,0
q18,"Quand un ami est contrarié, je me sens contrarié aussi.","Wenn ein Freund traurig ist, fühle ich mich auch traurig.","When a friend is upset, I feel upset too.",questionnaire1_q18_fr.mp3,questionnaire1_q18_de.mp3,questionnaire1_q18_en.mp3,0
