tag;fr;de;en;filename_fr;filename_de;filename_en
intro;Salut ! Je suis Blossom, un robot social. Je suis vraiment content de te rencontrer aujourd'hui. Comment tu t'appelles ?;Hallo! Ich bin Blossom, ein sozialer Roboter. Ich freue mich sehr, dich heute zu treffen. Wie heißt du? ;Hi there! I am Blossom, a social robot. I’m really happy to meet you today. What is your name? ;neutral_intro_fr.mp3;neutral_intro_de.mp3;neutral_intro_en.mp3
explain_1;C'est un beau nom ! J'espérais que tu serais là parce que j'ai besoin de ton aide. J'ai un peu froid en ce moment, et je voulais mettre mon écharpe, mais je ne sais pas où elle est. Je dois l'avoir laissée quelque part, mais je ne me souviens plus où. C'est une écharpe bleue avec des petites fleurs d'edelweiss blanches dessus. As-tu déjà vu des fleurs d'edelweiss ?;Das ist ein schöner Name! Ich hatte wirklich gehofft, dass du kommst, weil ich deine Hilfe brauche. Mir ist gerade ein wenig kalt, und ich wollte meinen Schal anziehen, aber ich weiß nicht, wo er ist. Ich muss ihn irgendwo liegen gelassen haben, aber ich kann mich nicht erinnern, wo. Es ist ein blauer Schal mit kleinen weißen Edelweiß-Blumen darauf. Hast du schon mal Edelweiß-Blumen gesehen? ;That’s a beautiful name! I was hoping you’d be here because I need your help. I feel a bit cold right now, and I wanted to put my scarf on, but I don’t know where it is. I must have left it somewhere, but I can’t remember where. It’s a blue scarf with some small white Edelweiss flowers on it. Have you ever seen Edelweiss flowers? ;neutral_explain_1_fr.mp3;neutral_explain_1_de.mp3;neutral_explain_1_en.mp3
explain_2;Ils poussent dans les montagnes et sont vraiment spéciaux parce qu'ils peuvent survivre par temps froid. L'écharpe est très douce parce qu'elle est en coton, et elle a été fabriquée en Italie. Le tissu est très doux et léger, mais il me garde au chaud. Tu savais que le coton est l'un des tissus naturels les plus utilisés au monde ?;Sie wachsen in den Bergen und sind ganz besonders, weil sie in kaltem Wetter überleben können. Der Schal ist sehr weich, weil er aus Baumwolle gemacht ist, und in Italien produziert wurde. Der Stoff ist sehr weich und leicht, aber hält mich trotzdem warm. Wusstest du, dass Baumwolle eines der meistverwendeten Naturstoffe der Welt ist? ;They grow in the mountains and are really special because they can survive in cold weather. The scarf is very soft because it’s made of cotton, and it was produced in Italy. The fabric is very soft and light, but it keeps me warm. Did you know that cotton is one of the most used natural fabrics in the world? ;neutral_explain_2_fr.mp3;neutral_explain_2_de.mp3;neutral_explain_2_en.mp3
explain_3;C'est génial parce que ça laisse passer l'air, donc tu n'as pas trop chaud tout en restant au chaud. C'est pour ça que les humains utilisent des écharpes en hiver—pour éviter que leur cou ait froid et attraper la grippe ! Tu crois que tu peux m'aider à trouver mon écharpe ?;Es ist großartig, weil die Luft hindurchströmen kann, sodass einem nicht zu heiß wird und man trotzdem warm bleibt. Deshalb tragen Menschen im Winter Schals – um ihren Hals warm zu halten und sich vor einer Erkältung zu schützen! Denkst du, du kannst mir helfen, meinen Schal zu finden? ;It’s great because it lets air pass through, so you don’t get too hot while still staying warm. That’s why humans use scarves in winter—to keep their necks from getting cold and avoid catching the flu! Do you think you can help me find my scarf?;neutral_explain_3_fr.mp3;neutral_explain_3_de.mp3;neutral_explain_3_en.mp3
search_1;Merci, essayons de regarder autour d'ici. Commençons par vérifier sous la table. Il y a une petite boîte là-bas—peut-être que mon écharpe est dedans ! Fais-moi savoir si tu trouves quelque chose.;Danke, lass uns nachsehen. Lass uns unter dem Tisch anfangen. Da ist eine kleine Kiste – vielleicht ist mein Schal da drin! Lass es mich wissen, wenn du etwas findest. ;Thank you, let’s try to have a look around here. Let’s start by checking under the table. There’s a small box there—maybe my scarf is inside! Let me know if you find anything.;neutral_search_1_fr.mp3;neutral_search_1_de.mp3;neutral_search_1_en.mp3
search_2;Hmm… pas là? Essayons un autre endroit. Que dirais-tu de regarder à l'intérieur du sac à dos noir à côté de la table ?;Hmm… nicht da? Versuchen wir einen anderen Ort. Wie wäre es, wenn du in der schwarzen Tasche neben dem Tisch nachschaust? ;Hmm… not there? Let’s try another spot. How about looking inside the black backpack next to the table?;neutral_search_3_fr.mp3;neutral_search_3_de.mp3;neutral_search_3_en.mp3
search_3;Peut-être vérifier les poches de la veste du chercheur accrochée à la chaise ? Le chercheur pourrait l'avoir mise là.;Vielleicht siehst du in den Taschen der Jacke der Forscherin nach, der auf dem Stuhl hängt? Die Forscherin könnte ihn dort hineingelegt haben. ;Maybe check the pockets of the researcher’s jacket hanging on the chair? The researcher could have put it in there;neutral_search_4_fr.mp3;neutral_search_4_de.mp3;neutral_search_4_en.mp3
search_4;Attends… Je viens de me souvenir ! Avant que les chercheurs me posent sur la table, j'étais dans ce sac en papier près de la porte. Tu crois que ça a pu tomber là-dedans ? Allons vérifier !;Warte… ich erinnere mich! Bevor die Forscherin mich auf den Tisch gestellt hat, war ich in dieser Papiertüte neben der Tür. Denkst du, er könnte da hineingefallen sein? Lass uns nachsehen! ;Wait… I just remembered! Before the researchers placed me on the table, I was inside that paper bag near the door. Do you think it could have fallen in there? Let’s check!.”;neutral_search_5_fr.mp3;neutral_search_5_de.mp3;neutral_search_5_en.mp3
found;Oh, tu l'as trouvé ! Merci ! Maintenant, je peux le porter à nouveau. Tu es doué pour trouver des choses ! Je suis content que tu étais là.;Oh, du hast ihn gefunden! Vielen Dank! Jetzt kann ich ihn wieder anziehen. Du bist gut im Suchen! Ich bin froh, dass du hier warst. ;Oh, you found it! Thank you! Now I can wear it again. You are good at finding things! I am happy that you were here;neutral_found_fr.mp3;neutral_found_de.mp3;neutral_found_en.mp3
end;Tu peux laisser l'écharpe sur la table. Maintenant, le chercheur va venir te poser quelques questions sur nos interactions. Encore une fois, merci de m'avoir aidé !;Du kannst den Schal auf dem Tisch lassen. Die Forscherin wird gleich kommen und dir ein paar Fragen zu unseren Interaktionen stellen. Nochmals vielen Dank, dass du mir geholfen hast! ;You can leave the scarf on the table. Now the researcher will come and ask you a few questions about our interactions. Again, thank you for helping me!;neutral_end_fr.mp3;neutral_end_de.mp3;neutral_end_en.mp3
